#F data: /SNS/REF_M/IPTS-2318/30/6429/NeXus/REF_M_6429.nxs
#E 1270040325.95
#D 2010-03-31T08:58:45.948001-04:00
#C data Run Number: 6429
#C data Title: _No2
#C data Notes: NONE
#C data dt/t: 0.0492519250009
#C data Sample: Name; LSMO(3)/LSFO(6) bilayer on STO | Nature; 1
#C data Proton Charge: (15441830346800.0, 'picoCoulomb')
#C data Slit1 Size: (nan, None)
#C data Slit3 Size: (nan, None)
#C data Slit1-Slit3 Distance: (1.8849999904632568, 'metre')
#C data dtheta: (nan, 'radians')
#C data theta: (0.017478076562837844, 'radians')
#C data dtheta_over_theta: nan
#C HLR Version - 1.7.6
#C DOM Version - 1.7.2
#C SCL Version - 1.4.1

#S 1 Spectrum ID ('bank1', (176, 127))
#N 3
#L scalar wavevector transfer(1/Angstroms)  Intensity(Counts/A-1)  Sigma(Counts/A-1)
0.0   0.0   0.0
0.001   0.0   0.0
0.002   0.0   0.0
0.003   0.0   0.0
0.004   0.0   0.0
0.005   0.0   0.0
0.006   0.0   0.0
0.007   0.0   0.0
0.008   0.0   0.0
0.009   0.0   0.0
0.01   0.0   0.0
0.011   0.0   0.0
0.012   0.0   0.0
0.013   0.0   0.0
0.014   0.0   0.0
0.015   0.0   0.0
0.016   0.0   0.0
0.017   0.0   0.0
0.018   0.0   0.0
0.019   0.0   0.0
0.02   0.0   0.0
0.021   0.0   0.0
0.022   0.0   0.0
0.023   0.0   0.0
0.024   0.0   0.0
0.025   0.0   0.0
0.026   0.0   0.0
0.027   0.0   0.0
0.028   0.0   0.0
0.029   0.0   0.0
0.03   0.0   0.0
0.031   0.0   0.0
0.032   0.0   0.0
0.033   0.0   0.0
0.034   0.0   0.0
0.035   0.0   0.0
0.036   0.0   0.0
0.037   0.0   0.0
0.038   0.0   0.0
0.039   0.0   0.0
0.04   0.0   0.0
0.041   0.0   0.0
0.042   0.0   0.0
0.043   0.0   0.0
0.044   0.0   0.0
0.045   0.0   0.0
0.046   0.0   0.0
0.047   0.0   0.0
0.048   0.0   0.0
0.049   0.0   0.0
0.05   0.0   0.0
0.051   0.0   0.0
0.052   0.0   0.0
0.053   0.0   0.0
0.054   0.0   0.0
0.055   0.0   0.0
0.056   0.0   0.0
0.057   0.0   0.0
0.058   0.0   0.0
0.059   0.0   0.0
0.06   0.0   0.0
0.061   0.0   0.0
0.062   0.0   0.0
0.063   0.0   0.0
0.064   0.0   0.0
0.065   0.0   0.0
0.066   0.0   0.0
0.067   0.0   0.0
0.068   0.0   0.0
0.069   0.0   0.0
0.07   0.0   0.0
0.071   0.0   0.0
0.072   0.0   0.0
0.073   0.0   0.0
0.074   0.0   0.0
0.075   0.0   0.0
0.076   0.0   0.0
0.077   0.0   0.0
0.078   0.0   0.0
0.079   0.0   0.0
0.08   0.0   0.0
0.081   0.0   0.0
0.082   0.0   0.0
0.083   0.0   0.0
0.084   0.0   0.0
0.085   0.0   0.0
0.086   0.0   0.0
0.087   0.0   0.0
0.088   0.0   0.0
0.089   0.0   0.0
0.09   0.0   0.0
0.091   0.0   0.0
0.092   0.0   0.0
0.093   0.0   0.0
0.094   0.0   0.0
0.095   0.0   0.0
0.096   0.0   0.0
0.097   0.0   0.0
0.098   0.0   0.0
0.099   0.0   0.0
0.1   0.0   0.0
0.101   0.0   0.0
0.102   12.3214117784   5.30142812711
0.103   30.407209455   6.72385903881
0.104   36.3785046729   6.72385903881
0.105   90.6858424928   10.454312373
0.106   175.803059346   14.228751907
0.107   199.154888624   15.2164301875
0.108   204.048517201   15.5113363183
0.109   195.110169618   15.4830606742
0.11   192.787173771   15.5675554054
0.111   200.275306127   15.9659195799
0.112   207.092168159   16.2764306157
0.113   225.530607815   16.8059970301
0.114   233.927720151   17.0573486138
0.115   234.536395261   17.0867495519
