#F trans_bkg: /LENS/SANS/2008_01_COM/1/176/NeXus/SANS_176.nxs
#F transmission: /LENS/SANS/2008_01_COM/1/175/NeXus/SANS_175.nxs
#E 1216754258.96
#D 2008-07-22T15:17:38.955382-04:00
#C transmission Run Number: 175
#C trans_bkg Run Number: 176
#C trans_bkg Title: Direct beam transmission, L2=2.22 m
#C transmission Title: Vycor transmission, 2 mm banjo cell, L2=2.22 m
#C trans_bkg Notes: BS out, 4 mm diam. Cd aperture at sample position, runtime=2401.8 sec
#C transmission Notes: BS out, 4 mm diam. Cd aperture at sample position, runtime=2402.3 sec
#C trans_bkg Proton Charge: (0.0, 'picoCoulomb')
#C transmission Proton Charge: (0.0, 'picoCoulomb')
#C HLR Version - 1.2dev
#C DOM Version - 1.2dev
#C SCL Version - 1.2dev
#C background Scaling: 53

#S 1 Spectrum ID ('bank1', (38, 38))
#N 3
#L wavelength(Angstroms)  Intensity(Counts/A)  Sigma(Counts/A)
4.0   0.7727923144   0.00805783369119
4.4   0.734284430633   0.00586042039522
4.8   0.718809362717   0.00588458196375
5.2   0.70517664387   0.0063408177693
5.6   0.673221428092   0.00679464600471
6.0   0.658981708576   0.00738021956437
6.4   0.626147582529   0.00789497573991
6.8   0.615475890664   0.00873542455488
7.2   0.613607986666   0.00979023150044
7.6   0.604637208397   0.0107179601968
8.0   0.556609207776   0.0110431721058
8.4   0.537956201086   0.0117007147536
8.8   0.536788321762   0.0129698768467
9.2   0.534240865898   0.0145150806017
9.6   0.528944082992   0.0160215820511
10.0   0.497406149752   0.0171534481827
10.4   0.449843405778   0.017665569666
10.8   0.461963189681   0.0201803161607
11.2   0.438953373818   0.021592478386
11.6   0.439133731131   0.0243914025011
12.0   0.376814490435   0.0240496897974
12.4   0.412569122352   0.0291578187771
12.8   0.331698414293   0.0267611849053
13.2   0.378410022714   0.0330225129994
13.6   0.313789860518   0.0321047149707
14.0   0.335942541279   0.039395946804
14.4   0.348608976114   0.0450664878375
14.8   0.305403075427   0.0432526344675
15.2   0.285684438813   0.0426777105669
15.6   0.303860591988   0.054769913896
16.0   0.227496418069   0.0503464049653
16.4   0.367615640491   0.0814157317927
16.8   0.368705685453   0.0922587890785
17.2   0.155246070996   0.0461290841922
17.6   0.204568176262   0.0606433854497
18.0   0.260307955112   0.111730162793
18.4   nan   nan
18.8   nan   nan
19.2   nan   nan
19.6   nan   nan
20.0   
