# Data Browser Export
# Version: 1.0
# Start: 2008/04/24 08:00:10.725000000
# End: 2008/04/24 18:00:00.000000000
# Source: Raw
# Spreadsheet: true
# With Severity/Status: false
# Format: Exponential (precision: 4 digits)
#
# Data is in TAB-delimited columns, should import into e.g. Excel
# PV: RTBT_Diag:BCM25I:Power1
# 
# Archives:
# 1) - All -
# 2) - All - (last restart)
#  Time	RTBT_Diag:BCM25I:Power1
2008/04/24 08:00:10.391854666	9.4207E4
2008/04/24 08:00:10.725197666	0.0000E0
2008/04/24 13:26:17.591097666	5.0000E0
2008/04/24 13:26:17.924368666	1.5000E1
2008/04/24 13:26:18.257642666	2.0000E1
2008/04/24 13:26:19.257470666	3.6000E1
2008/04/24 13:26:19.590749666	7.4000E1
2008/04/24 13:26:19.924030666	1.6100E2
2008/04/24 13:26:20.257313666	2.4900E2
2008/04/24 13:26:20.590598666	3.1100E2
2008/04/24 13:26:20.923885666	3.3000E2
2008/04/24 13:26:21.257174666	3.2100E2
2008/04/24 13:26:21.590464666	3.3400E2
2008/04/24 13:26:21.923754666	3.4100E2
2008/04/24 13:26:22.257045666	3.7000E2
2008/04/24 13:26:22.923628666	3.5700E2
2008/04/24 13:26:23.256919666	3.4400E2
2008/04/24 13:26:23.590209666	3.3100E2
2008/04/24 13:26:24.590073666	3.4300E2
2008/04/24 13:26:25.256649666	3.5300E2
2008/04/24 13:26:25.923228666	3.6500E2
2008/04/24 13:26:26.256517666	3.7100E2
2008/04/24 13:26:26.606471666	3.5600E2
2008/04/24 13:26:26.939759666	3.4300E2
2008/04/24 13:26:27.256382666	3.0700E2
